Timestamp,DeviceName,ActionType,FileName,FolderPath,SHA256,Account
"Jun 20, 2026 2:20:20 PM",WIN-TARGET-01,FileCreated,FRE_Tutorial_Share.svg,C:\Users\user\AppData\Local\Microsoft\OneDrive\26.106.0603.0003\images\darkTheme\FRE_Tutorial_Share.svg,82a1880b64c51e0a2a1a840903f9b7def8ce622166f3b08f4f83955747894712,user
"Jun 20, 2026 2:20:20 PM",WIN-TARGET-01,FileCreated,FRE_Tutorial_Share.js,C:\Users\user\AppData\Local\Microsoft\OneDrive\26.106.0603.0003\images\darkTheme\FRE_Tutorial_Share.js,a3530d2250967b602dfe064231e6c184990082b18fdd37017ee34a3586de6a75,user
"Jun 20, 2026 2:20:20 PM",WIN-TARGET-01,FileCreated,FRE_Tutorial_Mobile.svg,C:\Users\user\AppData\Local\Microsoft\OneDrive\26.106.0603.0003\images\darkTheme\FRE_Tutorial_Mobile.svg,1f8e8d9685f6c718cd90732d7589a5bf33815127bc07c9b391bdd37b10de92d3,user
"Jun 20, 2026 2:20:20 PM",WIN-TARGET-01,FileCreated,FRE_Tutorial_Mobile.js,C:\Users\user\AppData\Local\Microsoft\OneDrive\26.106.0603.0003\images\darkTheme\FRE_Tutorial_Mobile.js,7340bf26937e17d3081f00a263c7cf638315a36d805c0316ab613f51d6a65757,user
"Jun 20, 2026 2:20:20 PM",WIN-TARGET-01,FileCreated,FRE_Tutorial_Intro.svg,C:\Users\user\AppData\Local\Microsoft\OneDrive\26.106.0603.0003\images\darkTheme\FRE_Tutorial_Intro.svg,045a7539fd6be0923ca2d8477b193f1cdce1f2949030c6533471bda26b12c348,user
"Jun 20, 2026 2:20:20 PM",WIN-TARGET-01,FileCreated,FRE_Tutorial_Intro.js,C:\Users\user\AppData\Local\Microsoft\OneDrive\26.106.0603.0003\images\darkTheme\FRE_Tutorial_Intro.js,a727c2cb5b38879015726e1635d2b4a754e099ec214a411df611f031875e958f,user
"Jun 20, 2026 2:20:20 PM",WIN-TARGET-01,FileCreated,FRE_Tutorial_FilesOnDemand_Placeholder.svg,C:\Users\user\AppData\Local\Microsoft\OneDrive\26.106.0603.0003\images\darkTheme\FRE_Tutorial_FilesOnDemand_Placeholder.svg,7f6468a70c852c9a3ae9d784f92b5276e7e7442c2561c3ff188b1152fefa0043,user
"Jun 20, 2026 2:20:20 PM",WIN-TARGET-01,FileCreated,FRE_Tutorial_FilesOnDemand_OnlineOnly.svg,C:\Users\user\AppData\Local\Microsoft\OneDrive\26.106.0603.0003\images\darkTheme\FRE_Tutorial_FilesOnDemand_OnlineOnly.svg,52d0c44aebf13798009fbef357f15aabb55244d4c561339e4631c11856b4338e,user
"Jun 20, 2026 2:20:20 PM",WIN-TARGET-01,FileCreated,FRE_Tutorial_FilesOnDemand_Important.svg,C:\Users\user\AppData\Local\Microsoft\OneDrive\26.106.0603.0003\images\darkTheme\FRE_Tutorial_FilesOnDemand_Important.svg,06efcedb27d7ca3700c5b53d81d053e13319ba2fbd0e0d3803486d408d67ba0a,user
"Jun 20, 2026 2:20:19 PM",WIN-TARGET-01,FileCreated,editor.html,C:\Users\user\AppData\Local\Microsoft\OneDrive\26.106.0603.0003\WebAssets\editor.html,537115b01d1075280fc978ba2135744d8c573141f8e599ba53da74cd4b804a45,user
"Jun 20, 2026 2:19:35 PM",WIN-TARGET-01,FileModified,SessionRestoreLog,C:\Users\user\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LocalState\EBWebView\Default\EdgeSessions\SessionRestoreLog,9d27641c8041a595b1cd67c29a386520b3b5da6add8a24d6ba2c2685e656a4c1,user
"Jun 20, 2026 2:19:34 PM",WIN-TARGET-01,FileDeleted,uc_connector.exe,C:\Program Files (x86)\Microsoft\EdgeCore\149.0.4022.69\uc_connector.exe,,user
"Jun 20, 2026 2:19:34 PM",WIN-TARGET-01,FileDeleted,uc_connector.exe,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.69\uc_connector.exe,,user
"Jun 20, 2026 2:19:33 PM",WIN-TARGET-01,FileCreated,DOMStore,C:\Users\user\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\AC\Microsoft\Internet Explorer\DOMStore,,user
"Jun 20, 2026 2:19:29 PM",WIN-TARGET-01,FileDeleted,uc_connector.exe,C:\Program Files (x86)\Microsoft\Edge\Application\149.0.4022.69\uc_connector.exe,,user
"Jun 20, 2026 2:19:29 PM",WIN-TARGET-01,FileDeleted,passkey_authenticator_plugin.exe,C:\Program Files (x86)\Microsoft\Edge\Application\149.0.4022.69\passkey_authenticator_plugin.exe,,user
"Jun 19, 2026 6:23:02 PM",WIN-TARGET-01,FileModified,edge_tracking_page_validator.js,C:\Windows\SystemTemp\msedge_chrome_Unpacker_BeginUnzipping8572_423076789\edge_tracking_page_validator.js,,user
"Jun 19, 2026 6:23:02 PM",WIN-TARGET-01,FileModified,edge_confirmation_page_validator.js,C:\Windows\SystemTemp\msedge_chrome_Unpacker_BeginUnzipping8572_423076789\edge_confirmation_page_validator.js,,user
"Jun 19, 2026 6:23:02 PM",WIN-TARGET-01,FileModified,edge_checkout_page_validator.js,C:\Windows\SystemTemp\msedge_chrome_Unpacker_BeginUnzipping8572_423076789\edge_checkout_page_validator.js,,user
