Timestamp,DeviceName,AccountName,ActionType,FileName,FolderPath,SHA256,ProcessCommandLine
"Jun 20, 2026 2:23:48 PM",WIN-TARGET-01,user,ProcessCreated,firefox.exe,C:\Users\user\Desktop\Tor Browser\Browser\firefox.exe,735a81ec47a3d0fef5269d720b952499472774c96ae0bee8c9e926b246e57526,"""firefox.exe"" -contentproc -isForBrowser -prefsHandle 4884:29031 -prefMapHandle 4888:276393 -jsInitHandle 4892:242716 -parentBuildID 20260616011530 -ipcHandle 4900 -initialChannelId {0b883408-4279-4b8d-9b6b-54c47e955fe7} -parentPid 4084 -win32kLockedDown -appDir ""C:\Users\user\Desktop\Tor Browser\Browser\browser"" - 10 tab"
"Jun 20, 2026 2:23:48 PM",WIN-TARGET-01,user,ProcessCreated,firefox.exe,C:\Users\user\Desktop\Tor Browser\Browser\firefox.exe,735a81ec47a3d0fef5269d720b952499472774c96ae0bee8c9e926b246e57526,"""firefox.exe"" -contentproc -isForBrowser -prefsHandle 4708:29031 -prefMapHandle 4712:276393 -jsInitHandle 4716:242716 -parentBuildID 20260616011530 -ipcHandle 4724 -initialChannelId {981e4afb-6236-4002-a7d4-e698403149ca} -parentPid 4084 -win32kLockedDown -appDir ""C:\Users\user\Desktop\Tor Browser\Browser\browser"" - 9 tab"
"Jun 20, 2026 2:23:48 PM",WIN-TARGET-01,user,ProcessCreated,firefox.exe,C:\Users\user\Desktop\Tor Browser\Browser\firefox.exe,735a81ec47a3d0fef5269d720b952499472774c96ae0bee8c9e926b246e57526,"""firefox.exe"" -contentproc -isForBrowser -prefsHandle 2376:29031 -prefMapHandle 2396:276393 -jsInitHandle 1944:242716 -parentBuildID 20260616011530 -ipcHandle 2400 -initialChannelId {104e9412-a533-4bf2-a80e-9fef10a17a89} -parentPid 4084 -win32kLockedDown -appDir ""C:\Users\user\Desktop\Tor Browser\Browser\browser"" - 8 tab"
"Jun 20, 2026 2:23:41 PM",WIN-TARGET-01,user,ProcessCreated,firefox.exe,C:\Users\user\Desktop\Tor Browser\Browser\firefox.exe,735a81ec47a3d0fef5269d720b952499472774c96ae0bee8c9e926b246e57526,"""firefox.exe"" -contentproc -isForBrowser -prefsHandle 4376:28693 -prefMapHandle 4380:276393 -jsInitHandle 4384:242716 -parentBuildID 20260616011530 -ipcHandle 4392 -initialChannelId {c0b6a320-06c7-4e39-8ca0-3dafaf8b3d09} -parentPid 4084 -win32kLockedDown -appDir ""C:\Users\user\Desktop\Tor Browser\Browser\browser"" - 7 tab"
"Jun 20, 2026 2:23:41 PM",WIN-TARGET-01,user,ProcessCreated,firefox.exe,C:\Users\user\Desktop\Tor Browser\Browser\firefox.exe,735a81ec47a3d0fef5269d720b952499472774c96ae0bee8c9e926b246e57526,"""firefox.exe"" -contentproc -parentBuildID 20260616011530 -sandboxingKind 0 -prefsHandle 1220:29630 -prefMapHandle 2032:276393 -ipcHandle 2872 -initialChannelId {26be3432-23b0-472b-a7c4-791744652e17} -parentPid 4084 -win32kLockedDown -appDir ""C:\Users\user\Desktop\Tor Browser\Browser\browser"" - 6 utility"
"Jun 20, 2026 2:23:39 PM",WIN-TARGET-01,user,ProcessCreated,tor.exe,C:\Users\user\Desktop\Tor Browser\Browser\TorBrowser\Tor\tor.exe,3480b027e2eeda0b6bfaf2f28bde7f3f7038ecf4de3c3862ee9536d1d8451537,"""tor.exe"" -f ""C:\Users\user\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc"" DataDirectory ""C:\Users\user\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor"" ClientOnionAuthDir ""C:\Users\user\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\onion-auth"" --defaults-torrc ""C:\Users\user\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc-defaults"" GeoIPFile ""C:\Users\user\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip"" GeoIPv6File ""C:\Users\user\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip6"" +__ControlPort 127.0.0.1:9151 HashedControlPassword ********** +__SocksPort ""127.0.0.1:9150 ExtendedErrors IPv6Traffic PreferIPv6 KeepAliveIsolateSOCKSAuth"" __OwningControllerProcess 4084 DisableNetwork 1"
"Jun 20, 2026 2:23:39 PM",WIN-TARGET-01,user,ProcessCreated,firefox.exe,C:\Users\user\Desktop\Tor Browser\Browser\firefox.exe,735a81ec47a3d0fef5269d720b952499472774c96ae0bee8c9e926b246e57526,"""firefox.exe"" -contentproc -isForBrowser -prefsHandle 3824:27841 -prefMapHandle 3828:276393 -jsInitHandle 3832:242716 -parentBuildID 20260616011530 -ipcHandle 3840 -initialChannelId {6ad2e0b5-95d8-4c3d-bb38-a7028b611ce8} -parentPid 4084 -win32kLockedDown -appDir ""C:\Users\user\Desktop\Tor Browser\Browser\browser"" - 5 tab"
"Jun 20, 2026 2:23:39 PM",WIN-TARGET-01,user,ProcessCreated,firefox.exe,C:\Users\user\Desktop\Tor Browser\Browser\firefox.exe,735a81ec47a3d0fef5269d720b952499472774c96ae0bee8c9e926b246e57526,"""firefox.exe"" -contentproc -isForBrowser -prefsHandle 3420:27765 -prefMapHandle 3424:276393 -jsInitHandle 3428:242716 -parentBuildID 20260616011530 -ipcHandle 3436 -initialChannelId {33c65ccb-4a70-47f9-a426-b2c6d1277975} -parentPid 4084 -win32kLockedDown -appDir ""C:\Users\user\Desktop\Tor Browser\Browser\browser"" - 4 tab"
"Jun 20, 2026 2:23:39 PM",WIN-TARGET-01,user,ProcessCreated,firefox.exe,C:\Users\user\Desktop\Tor Browser\Browser\firefox.exe,735a81ec47a3d0fef5269d720b952499472774c96ae0bee8c9e926b246e57526,"""firefox.exe"" -contentproc -parentBuildID 20260616011530 -prefsHandle 2416:27177 -prefMapHandle 2420:276393 -ipcHandle 2996 -initialChannelId {567232a8-6ee5-4b0a-8768-6664e123092d} -parentPid 4084 -appDir ""C:\Users\user\Desktop\Tor Browser\Browser\browser"" - 3 rdd"
"Jun 20, 2026 2:23:39 PM",WIN-TARGET-01,user,ProcessCreated,firefox.exe,C:\Users\user\Desktop\Tor Browser\Browser\firefox.exe,735a81ec47a3d0fef5269d720b952499472774c96ae0bee8c9e926b246e57526,"""firefox.exe"" -contentproc -isForBrowser -prefsHandle 2944:26928 -prefMapHandle 2948:276393 -jsInitHandle 2952:242716 -parentBuildID 20260616011530 -ipcHandle 2324 -initialChannelId {83e12b6e-3d76-4f18-a15d-49eb550acced} -parentPid 4084 -win32kLockedDown -appDir ""C:\Users\user\Desktop\Tor Browser\Browser\browser"" - 2 tab"
"Jun 20, 2026 2:23:38 PM",WIN-TARGET-01,user,ProcessCreated,firefox.exe,C:\Users\user\Desktop\Tor Browser\Browser\firefox.exe,735a81ec47a3d0fef5269d720b952499472774c96ae0bee8c9e926b246e57526,"""firefox.exe"" -contentproc -parentBuildID 20260616011530 -prefsHandle 2576:26436 -prefMapHandle 2580:276393 -ipcHandle 2600 -initialChannelId {06463f17-7c75-48de-8543-b6234f8cb1a3} -parentPid 4084 -appDir ""C:\Users\user\Desktop\Tor Browser\Browser\browser"" - 1 gpu"
"Jun 20, 2026 2:23:36 PM",WIN-TARGET-01,user,ProcessCreated,firefox.exe,C:\Users\user\Desktop\Tor Browser\Browser\firefox.exe,735a81ec47a3d0fef5269d720b952499472774c96ae0bee8c9e926b246e57526,firefox.exe
"Jun 20, 2026 2:23:36 PM",WIN-TARGET-01,user,ProcessCreated,firefox.exe,C:\Users\user\Desktop\Tor Browser\Browser\firefox.exe,735a81ec47a3d0fef5269d720b952499472774c96ae0bee8c9e926b246e57526,firefox.exe
